id,conf,year,times,x,y,
655,InfoVis,2009,4,-35.670807,-59.70442,
1695,InfoVis,2001,9,-14.879647,30.797165,
1639,InfoVis,2002,8,17.106901,-50.561657,
396,InfoVis,2011,3,-0.40796456,-65.79891,
397,InfoVis,2011,1,-26.271856,5.1898546,
78,InfoVis,2014,0,-24.377453,-53.413425,
468,VAST,2011,2,-23.830915,-26.67325,
2392,SciVis,1993,11,-41.491615,-40.37826,
748,VAST,2009,9,-24.067286,-29.32305,
446,SciVis,2011,3,-28.19162,-19.909037,
1200,SciVis,2005,11,-23.058681,44.28666,
1654,InfoVis,2002,6,-55.68401,0.3601137,
1697,InfoVis,2001,4,-27.717052,-17.252789,
308,SciVis,2012,1,-26.928808,-18.52703,
159,VAST,2013,1,-37.121063,-67.257744,
